Date,Product,Price,Quantity,Revenue
2023-01-01,C,235,8,1880
2023-01-02,A,162,9,1458
2023-01-03,C,238,4,952
2023-01-04,C,180,1,180
2023-01-05,A,491,1,491
2023-01-06,A,262,4,1048
2023-01-07,C,388,7,2716
2023-01-08,B,478,2,956
2023-01-09,C,360,3,1080
2023-01-10,C,330,1,330
2023-01-11,C,140,5,700
2023-01-12,C,127,1,127
2023-01-13,A,234,8,1872
2023-01-14,C,300,1,300
2023-01-15,B,427,1,427
2023-01-16,A,367,2,734
2023-01-17,B,132,2,264
2023-01-18,B,147,6,882
2023-01-19,B,161,7,1127
2023-01-20,B,315,5,1575
2023-01-21,A,392,1,392
2023-01-22,A,198,1,198
2023-01-23,B,271,3,813
2023-01-24,B,459,2,918
2023-01-25,A,313,5,1565
2023-01-26,A,134,6,804
2023-01-27,A,326,7,2282
2023-01-28,C,200,4,800
2023-01-29,C,230,7,1610
2023-01-30,C,356,8,2848
2023-01-31,B,104,1,104
2023-02-01,C,317,6,1902
2023-02-02,B,354,8,2832
2023-02-03,B,497,5,2485
2023-02-04,C,458,4,1832
2023-02-05,B,382,2,764
2023-02-06,C,492,6,2952
2023-02-07,C,306,6,1836
2023-02-08,A,114,1,114
2023-02-09,C,445,9,4005
2023-02-10,A,141,6,846
2023-02-11,C,479,3,1437
2023-02-12,C,278,4,1112
2023-02-13,A,162,4,648
2023-02-14,A,451,3,1353
2023-02-15,C,330,3,990
2023-02-16,B,340,3,1020
2023-02-17,A,151,4,604
2023-02-18,B,195,7,1365
2023-02-19,B,487,4,1948
2023-02-20,B,321,9,2889
2023-02-21,A,330,1,330
2023-02-22,B,336,8,2688
2023-02-23,A,242,7,1694
2023-02-24,B,270,2,540
2023-02-25,C,128,8,1024
2023-02-26,C,135,1,135
2023-02-27,A,112,9,1008
2023-02-28,C,259,9,2331
2023-03-01,C,426,2,852
2023-03-02,B,286,7,2002
2023-03-03,A,342,3,1026
2023-03-04,B,185,7,1295
2023-03-05,B,383,9,3447
2023-03-06,B,165,4,660
2023-03-07,B,269,1,269
2023-03-08,B,144,2,288
2023-03-09,B,161,1,161
2023-03-10,B,233,5,1165
2023-03-11,A,383,5,1915
2023-03-12,C,127,7,889
2023-03-13,B,207,9,1863
2023-03-14,B,143,9,1287
2023-03-15,B,439,3,1317
2023-03-16,B,385,3,1155
2023-03-17,B,430,3,1290
2023-03-18,B,227,4,908
2023-03-19,C,447,8,3576
2023-03-20,C,330,6,1980
2023-03-21,B,289,8,2312
2023-03-22,C,324,1,324
2023-03-23,A,484,8,3872
2023-03-24,B,476,4,1904
2023-03-25,A,382,1,382
2023-03-26,A,220,8,1760
2023-03-27,B,215,4,860
2023-03-28,C,332,6,1992
2023-03-29,A,358,8,2864
2023-03-30,B,458,4,1832
2023-03-31,A,297,3,891
2023-04-01,A,236,9,2124
2023-04-02,A,417,3,1251
2023-04-03,A,264,9,2376
2023-04-04,C,324,2,648
2023-04-05,A,406,2,812
2023-04-06,A,333,2,666
2023-04-07,A,271,6,1626
2023-04-08,C,251,3,753
2023-04-09,A,414,9,3726
2023-04-10,A,473,4,1892
